,filename,synthetic,reference,category,time_sensitive
0,1.txt,no,,COLLAB,NO
1,10.txt,no,,COLLAB,NO
2,2.txt,no,,COLLAB,NO
3,3.txt,no,,COLLAB,NO
4,4.txt,no,,COLLAB,NO
5,5.txt,no,,COLLAB,YES
6,6.txt,no,,COLLAB,NO
7,7.txt,no,,COLLAB,NO
8,8.txt,no,,COLLAB,NO
9,9.txt,no,,COLLAB,NO
10,synthetic_11.txt,yes,,COLLAB,NO
11,synthetic_12.txt,yes,,COLLAB,NO
12,synthetic_13.txt,yes,,COLLAB,NO
13,synthetic_14.txt,yes,,COLLAB,NO
14,synthetic_15.txt,yes,,COLLAB,NO
15,synthetic_16.txt,yes,,COLLAB,NO
16,synthetic_17.txt,yes,,COLLAB,NO
17,synthetic_18.txt,yes,,COLLAB,YES
18,synthetic_19.txt,yes,,COLLAB,NO
19,synthetic_20.txt,yes,,COLLAB,NO
20,synthetic_21.txt,yes,,COLLAB,YES
21,synthetic_22.txt,yes,,COLLAB,NO
22,synthetic_23.txt,yes,,COLLAB,NO
23,synthetic_24.txt,yes,,COLLAB,NO
24,synthetic_25.txt,yes,,COLLAB,NO
25,synthetic_26.txt,yes,,COLLAB,NO
26,synthetic_27.txt,yes,,COLLAB,NO
27,synthetic_28.txt,yes,,COLLAB,NO
28,synthetic_29.txt,yes,,COLLAB,NO
29,synthetic_30.txt,yes,,COLLAB,NO
30,synthetic_31.txt,yes,,COLLAB,NO
31,synthetic_32.txt,yes,,COLLAB,NO
32,synthetic_33.txt,yes,,COLLAB,NO
33,synthetic_34.txt,yes,,COLLAB,NO
34,synthetic_35.txt,yes,,COLLAB,NO
35,synthetic_36.txt,yes,,COLLAB,NO
36,synthetic_37.txt,yes,,COLLAB,YES
37,synthetic_38.txt,yes,,COLLAB,NO
38,synthetic_39.txt,yes,,COLLAB,NO
39,synthetic_40.txt,yes,,COLLAB,NO
40,synthetic_41.txt,yes,,COLLAB,NO
41,synthetic_42.txt,yes,,COLLAB,NO
42,synthetic_43.txt,yes,,COLLAB,NO
43,synthetic_44.txt,yes,,COLLAB,NO
44,synthetic_45.txt,yes,,COLLAB,NO
45,synthetic_46.txt,yes,,COLLAB,NO
46,synthetic_47.txt,yes,,COLLAB,YES
47,synthetic_48.txt,yes,,COLLAB,NO
48,synthetic_49.txt,yes,,COLLAB,NO
49,synthetic_50.txt,yes,,COLLAB,NO
